Date,Temp,Temp_max,Temp_min,precip
09-11,25.72,31.1,22.12,0.4
09-12,25.68,30.72,22.16,0.3
09-13,25.66,30.98,21.74,1.6
09-14,25.82,31.2,22.42,0.1
09-15,25.16,30.34,22.12,1.6
09-16,24.74,30.02,20.64,0.1
09-17,25.92,31.42,21.18,0.2
09-18,26.2,32.34,23.04,19.8
09-19,25.08,30.32,21.16,3.7
09-20,23.74,29.94,19.1,6.5
09-21,22.54,28.06,18.52,2
09-22,21.84,27,17.7,3.5
09-23,21.88,26.94,17.94,12.6
09-24,21.5,26.84,16.96,14.5
09-25,21.1,26.42,16.6,0.2
09-26,22.32,28.44,17.78,0
09-27,22.32,27.08,18.8,0.1
09-28,22.48,28.28,18.1,0
09-29,22.82,28.08,18.44,0
09-30,22.5,28.36,18.44,0.2
10-01,20.92,25.4,17.04,18.8
10-02,21.84,28.74,15.86,1.2
10-03,20.68,26.3,15.74,1.7
10-04,21.42,26.4,17.52,2.7
10-05,20.48,25.28,16.74,0.9
10-06,19.18,23.88,15.32,2
10-07,18.36,22.54,15.02,12.7
10-08,18.92,24.74,14.14,4.7
10-09,17.78,20.8,14.62,12.9
10-10,18.2,22.98,14.12,5
10-11,18.4,24.02,13.48,1
10-12,18.18,23,14.1,0
10-13,17.42,22.1,14.1,2.9
10-14,17.66,23.46,13.06,1.3
10-15,18.06,22.78,14.24,6.4
10-16,18.6,22.52,13.98,1.8
10-17,18.2,23.5,13.92,4.3
10-18,16.58,21.8,11.12,1.5
10-19,17,22.46,12.86,0.8
10-20,15.48,22.02,9.76,0.8
10-21,14.24,19.74,8.38,0
10-22,13.94,18.4,9.48,1.6
10-23,14.98,21.78,9.3,0.4
10-24,14.84,20.84,10.02,2.1
10-25,14.6,18.36,10.98,1.5
10-26,14.9,19.78,10.14,8.4
10-27,14.94,20.82,9.3,0.2
10-28,14.82,20.7,9.64,1.3
10-29,12.76,18.5,7.6,4.5
10-30,13.1,20.48,5.76,3.9
10-31,13.68,19.5,7.82,7.3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
