Date,Temp,Temp_max,Temp_min,precip
09-11,25.8,30.62,21.94,1.2
09-12,25.32,29.88,22.08,0.7
09-13,25.64,31.36,21.58,1
09-14,26.12,31.16,22.34,1.5
09-15,25.12,29.8,21.76,0.3
09-16,24.74,29.86,20.42,0
09-17,25.92,31.38,21.16,0
09-18,26.52,31.88,23.22,15.2
09-19,25.06,29.72,21.36,3.7
09-20,24.2,29.88,19.12,8.8
09-21,23.22,28.08,19.24,0
09-22,22.46,27.18,18.34,3
09-23,22.06,26.18,18.24,3.1
09-24,21.5,26.88,17.42,11.3
09-25,20.98,25.88,16.3,0.1
09-26,22.02,27.78,17.64,0
09-27,22.02,26.78,18.46,1.6
09-28,22.48,27.56,18.7,0.1
09-29,22.96,27.74,19.24,1.2
09-30,22.22,27.74,18.44,0.8
10-01,21.38,24.8,18.2,15
10-02,21.84,28.4,15.86,2.8
10-03,20.96,26.34,16.68,1.8
10-04,22.4,26.86,18.3,2.6
10-05,21.08,26.38,17.06,1.8
10-06,19.18,23.28,15.8,1.5
10-07,19.08,23.4,15.36,9.4
10-08,18.9,24.76,14.44,3.6
10-09,17.84,20.74,14.86,16.6
10-10,18.68,24.62,14.34,3.1
10-11,18.54,23.82,14.18,2.1
10-12,18.18,22.5,14.2,0
10-13,17.28,21.22,14.12,3.6
10-14,17.5,22.72,12.68,2.1
10-15,17.98,22.96,14.1,8.7
10-16,18.82,23.7,13.86,1.9
10-17,18.16,23.16,13.84,5.9
10-18,16.98,22.1,11.86,4.6
10-19,17.32,22.28,13.16,1.6
10-20,15.96,21.56,10.82,1.4
10-21,14.74,19.74,9.2,0
10-22,12.775,16.95,9.55,3.5
10-23,15.52,21.9,10.02,0.4
10-24,14.74,20.1,10.5,0.5
10-25,14.52,17.88,10.76,3.2
10-26,15.1,19.8,10.6,9.7
10-27,14.94,21.06,9.2,2.2
10-28,15.1,20.76,10.26,2.2
10-29,13,18.62,8.78,4.4
10-30,13.46,20.32,7.16,4
10-31,13.66,19.72,7.42,12.4
