Date,Temp,Temp_max,Temp_min,precip
09-11,25.42,29.38,22.36,0.4
09-12,25.58,29.4,22.14,0.5
09-13,25.74,30.52,21.9,11
09-14,25.54,29.8,22.68,0
09-15,25.2,29.14,22.38,0.4
09-16,24.6,29.22,20.7,0
09-17,25.94,30.48,21.24,0
09-18,26.26,31.2,23.16,27.2
09-19,25,29.46,21.04,9.2
09-20,23.78,29,19.48,7.1
09-21,22.46,27.2,18.72,0.5
09-22,22.22,26.44,17.94,4.2
09-23,21.7,25.96,18.5,2.6
09-24,21.44,26.58,17.24,5.5
09-25,21.22,25.88,16.86,0.5
09-26,22.08,26.78,18.14,0
09-27,21.94,26.14,18.96,0.4
09-28,22.46,27.24,19.02,0
09-29,23,27.4,19.2,0
09-30,22.4,27.18,18.46,0.2
10-01,21.06,24.7,17.82,23.8
10-02,21.94,28.3,16.92,1.2
10-03,20.64,26.06,16.18,3.7
10-04,22.36,27.28,17.66,1.8
10-05,20.82,25.32,17.42,1.4
10-06,19.28,23.48,16.08,1.7
10-07,18.8,22.7,15.7,8.4
10-08,19.18,24.56,14.88,4.2
10-09,17.72,20.7,14.72,18
10-10,18.72,23.3,14.84,3.8
10-11,18.58,23.46,14.22,3.9
10-12,17.94,22.04,14.48,0
10-13,17.3,21.22,14.32,4.6
10-14,17.76,23,13.38,1.9
10-15,18.26,22.3,14.26,7.8
10-16,19,23.28,14.76,1.8
10-17,18.02,22.94,13.68,4.7
10-18,16.62,21.08,11.74,7.8
10-19,17.38,22.28,13.56,0.7
10-20,15.88,21.64,10.34,0.6
10-21,14.72,19.54,9.18,0
10-22,14.34,18.46,10.56,2.7
10-23,15.72,21.6,10.38,0.2
10-24,14.94,19.88,10.7,0.9
10-25,14.72,18.58,10.84,1.3
10-26,15.38,20.04,10.88,8.1
10-27,15.24,20.82,10.02,0.3
10-28,14.78,20.76,10.78,1.7
10-29,13.66,18.62,9.44,3.8
10-30,13.58,20.12,7.96,5.1
10-31,14.2,19.9,8.72,14.3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
