Date,Temp,Temp_max,Temp_min,precip
09-11,25.8,30.52,22.46,0.9
09-12,25.78,30.3,22.4,0.3
09-13,25.76,30.88,22.14,1.9
09-14,26.12,31.04,22.8,0.1
09-15,25.46,30.28,22.52,0.3
09-16,25.02,30.14,20.94,0.1
09-17,26.12,31.64,21.6,0
09-18,26.44,32.1,23.32,25.2
09-19,25.26,29.8,21.58,4.2
09-20,23.88,29.56,19.4,15.8
09-21,22.84,27.82,18.8,1
09-22,22,26.32,18.22,4
09-23,22.08,26.62,18.44,6.6
09-24,21.7,26.6,17.6,14.1
09-25,21.32,26.16,16.88,0.4
09-26,22.32,27.3,18.04,0
09-27,22.48,26.94,19.16,0.1
09-28,22.66,28.04,18.46,0
09-29,23.04,27.68,19,0
09-30,22.76,27.66,18.76,0.1
10-01,21.14,25.28,17.74,19.4
10-02,22.14,28.52,16.54,0
10-03,21.08,26.04,16.62,2.4
10-04,21.58,26.52,17.82,1.8
10-05,20.62,24.64,17.28,0.9
10-06,19.48,23.82,16.18,2
10-07,18.94,22.7,15.8,9.2
10-08,19.1,24.6,14.6,5
10-09,18,20.86,15.06,11.6
10-10,18.3,22.74,14.74,4.4
10-11,18.56,23.8,14.02,1.5
10-12,18.36,22.72,14.72,0
10-13,17.58,21.96,14.28,2.8
10-14,17.8,23.04,13.28,1.4
10-15,18.18,22.18,14.92,7.2
10-16,18.8,22.52,14.66,2
10-17,17.45,22.575,12.625,6.25
10-18,16.76,21.74,11.78,1.7
10-19,17.16,21.96,13.32,0.7
10-20,15.94,21.72,10.5,0.5
10-21,14.64,19.64,9,0
10-22,14.02,18.18,10,2.3
10-23,14.9,21.38,9.78,0.7
10-24,14.96,20.1,10.26,1.3
10-25,14.74,18.04,11.28,2.8
10-26,15.04,19.46,10.78,9.2
10-27,15.04,20.44,10.02,0.2
10-28,15.04,20.46,10.32,3.6
10-29,13.2,18.54,8.3,7.6
10-30,13.38,20.1,6.98,3.2
10-31,13.78,19.12,8.46,7.8
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
